[00:05:000.53 --> 00:05:001.09] [Roan]  Nou, daar gaan we.
[00:05:001.25 --> 00:05:003.57] [Roan]  Uhm, oké, maar het is misschien niet handig om op deze te beginnen.
[00:05:003.71 --> 00:05:006.33] [Roan]  Hij selecteert, dus als je een beetje naar beneden scrolt,
[00:05:007.77 --> 00:05:011.17] [Roan]  dan de geschreven uitleg is denk ik het handigst om mee te beginnen.
[00:05:011.43 --> 00:05:012.35] [Roan]  Dus dan kun je daarop klikken.
[00:05:015.40 --> 00:05:018.36] [Roan]  Oh, ja, dat hoeft niet.
[00:05:019.38 --> 00:05:029.64] [Roan]  Ja, nee, hier is dus een geschreven uitleg door het model, dus wederom, lees de tekst even door en dan vervolgens zal ik daar wat vragen over vragen.
[00:05:029.57 --> 00:05:031.25] [Ermo]  Ben benieuwd wat dit allemaal is.
[00:05:031.45 --> 00:05:032.57] [Ermo]  Even kijken...
[00:05:032.73 --> 00:05:033.53] [Ermo]  Bedrijf gekeken...
[00:05:034.68 --> 00:05:038.40] [Ermo]  Ja, en matches op basis van verbindingen, ja, deze...
[00:05:039.48 --> 00:05:043.42] [Ermo]  Ja, oké, het model ontdekte, ja, oké...
[00:05:048.14 --> 00:05:048.86] [Ermo]  Oké...
[00:06:005.41 --> 00:06:009.49] [Ermo]  Nou, moeilijk te begrijpen, maar wat moet ik hiermee doen?
[00:06:009.49 --> 00:06:015.19] [Roan]  Oké, ja, nee, dus dan, ja, ik zal over elke soort uitleg telkens wat vragen stellen.
[00:06:015.35 --> 00:06:019.17] [Roan]  Dus ja, de eerste vraag gaat er eigenlijk een beetje over om te kijken of wat er daadwerkelijk,
[00:06:020.15 --> 00:06:022.57] [Roan]  de informatie die erin staat, of die duidelijk naar voren komt.
[00:06:023.47 --> 00:06:028.67] [Roan]  Dus ja, is het duidelijk welke informatie het belangrijkste is geweest voor het model
[00:06:028.67 --> 00:06:032.77] [Roan]  om dus die kandidaten, die vacature aan elkaar te matchen?
[00:06:033.25 --> 00:06:035.49] [Ermo]  Ja, dat is de vraag.
[00:06:035.63 --> 00:06:037.81] [Roan]  Ja, welke informatie denk je dat dat is?
[00:06:040.19 --> 00:06:042.01] [Ermo]  Uit de informatie die ik nu lees?
[00:06:042.07 --> 00:06:042.19] [Ermo]  Ja.
[00:06:043.01 --> 00:06:044.79] [Ermo]  Of wat voor mij het belangrijkste is?
[00:06:045.15 --> 00:06:049.15] [Roan]  Nee, wat er staat. Dat is wat je denkt dat het model het belangrijkst vindt.
[00:06:051.88 --> 00:06:057.28] [Ermo]  Nou ja, ik begrijp hem niet heel goed, Roan, dus zoals ik hem begrijp is dat er dus inderdaad
[00:06:057.28 --> 00:07:006.18] [Ermo]  dat XAI-model is, die dus kandidaten matcht en linkt aan, hij matcht aan een vacature,
[00:07:007.00 --> 00:07:014.44] [Ermo]  maar dat er dan ook andere kandidaten zijn waarmee er een verhouding is met die kandidaat.
[00:07:014.48 --> 00:07:014.82] [Roan]  Oké.
[00:07:014.92 --> 00:07:017.68] [Ermo]  En dat zou mij dan wellicht informatie moeten geven.
[00:07:018.04 --> 00:07:018.24] [Roan]  Mhm.
[00:07:018.65 --> 00:07:026.03] [Ermo]  Over waar die kandidaat gepositioneerd staat ten opzichte van die andere kandidaten.
[00:07:026.13 --> 00:07:027.15] [Ermo]  Heb ik het zo goed gelezen?
[00:07:027.38 --> 00:07:029.50] [Roan]  Ja, ja, nee, in principe klopt dat dus.
[00:07:029.60 --> 00:07:033.42] [Roan]  Ja, het is inderdaad de nummers van de kandidaten, dat kan misschien een beetje verwarrend zijn,
[00:07:033.52 --> 00:07:037.34] [Roan]  maar het is dus inderdaad die kandidaat die gematcht is aan de vacature,
[00:07:037.88 --> 00:07:041.24] [Roan]  wat er dus inderdaad onderaan in dat laatste stukje staat,
[00:07:041.72 --> 00:07:046.90] [Roan]  die heeft vergelijkbare ervaring met een andere kandidaat die de vacature eerder al heeft vervuld.
[00:07:047.16 --> 00:07:047.66] [Ermo]  Ja, precies.
[00:07:047.81 --> 00:07:049.61] [Ermo]  Zo had ik het ook gelezen.
[00:07:049.74 --> 00:07:055.04] [Roan]  Dus het is wel een beetje onduidelijk, maar met een beetje puzzelen komt het wel nu naar voren?
[00:07:055.82 --> 00:07:055.96] [Ermo]  Ja.
[00:07:056.14 --> 00:08:001.48] [Roan]  Oké, en wat is dan vooral onduidelijk of wat zorgt ervoor dat het lastiger te begrijpen is?
[00:08:001.70 --> 00:08:007.20] [Ermo]  Nou, omdat de ene sterk verbonden is en de andere dan minder sterk verbonden is.
[00:08:007.64 --> 00:08:012.76] [Ermo]  Even kijken, de hogere scoren en de lagere scoren.
[00:08:012.86 --> 00:08:017.80] [Ermo]  Dus dat is inderdaad ook nog eens een keer verschillende vacatures.
[00:08:018.76 --> 00:08:021.40] [Ermo]  Dus het is best wel veel informatie, Roan.
[00:08:022.94 --> 00:08:024.81] [Roan]  Het is een beetje door de boom, het bos niet meer.
[00:08:025.54 --> 00:08:029.44] [Ermo]  Nou, ik zat er doorheen te lezen en ik denk, oké, maar wat wil die er nou mee zeggen?
[00:08:029.57 --> 00:08:033.46] [Ermo]  Maar in principe staat de conclusie wel in de laatste zin, dus dat is op zich goed.
[00:08:034.07 --> 00:08:040.99] [Roan]  Oké, en rechtsboven staat de knop voor simpele weergaven, dus als je daar op drukt dan krijg je een wat versimpeldere weergave.
[00:08:041.11 --> 00:08:041.55] [Roan]  Dus misschien...
[00:08:041.55 --> 00:08:042.11] [Ermo]  Ik ben benieuwd.
[00:08:043.11 --> 00:08:045.51] [Roan]  Als je deze leest, of het dan wel duidelijker wordt.
[00:08:047.60 --> 00:08:047.94] [Ermo]  Oké.
[00:09:021.41 --> 00:09:022.91] [Roan]  Is het hier wat duidelijk?
[00:09:022.44 --> 00:09:023.20] [Ermo]  Ja, wat duidelijker.
[00:09:022.95 --> 00:09:023.09] [Ermo]  Ja.
[00:09:024.26 --> 00:09:027.25] [Ermo]  Ja, iets duidelijker. Het is gewoon wat gecomprimeerder.
[00:09:027.35 --> 00:09:033.03] [Roan]  Ja, ja, dus er ontbreekt wat informatie, maar de kern is wat duidelijker.
[00:09:032.93 --> 00:09:035.99] [Ermo]  Ja, dus dit is voor mij duidelijker weergegeven.
[00:09:036.59 --> 00:09:038.93] [Ermo]  Ik ken natuurlijk niet al die, maar ja, dat is...
[00:09:038.91 --> 00:09:039.15] [Ermo]  Oké.
[00:09:040.04 --> 00:09:042.88] [Ermo]  Ja, het is abstract iets.
[00:09:043.97 --> 00:09:052.19] [Roan]  Ja, oké, maar helpt deze uitleg nu dus dan wel begrijpen waarom het model de match heeft voorspeld?
[00:10:002.37 --> 00:10:003.33] [Ermo]  Ja, ja, ja.
[00:10:003.06 --> 00:10:009.72] [Ermo]  Ja, want die uitleg is dus wat ook in het begin staat.
[00:10:009.93 --> 00:10:010.19] [Ermo]  Oké.
[00:10:011.19 --> 00:10:017.33] [Ermo]  Hoe de connecties en relaties tussen de kandidaten zitten en waarom dan deze match het beste is.
[00:10:017.67 --> 00:10:019.69] [Roan]  Oké, ja nee, top.
[00:10:020.87 --> 00:10:027.59] [Roan]  Zou er verder nog iets zijn wat zou kunnen helpen met het begrijpen van de uitleg?
[00:10:027.89 --> 00:10:032.13] [Roan]  Dus wat bijvoorbeeld eerder was benoemd in een ander interview,
[00:10:032.65 --> 00:10:040.75] [Roan]  als je bij kandidaat 4-119 zou kunnen zien wat die persoon zijn cv is bijvoorbeeld, iets in die geest.
[00:10:045.18 --> 00:10:046.62] [Ermo]  Oké, effe kijken.
[00:10:051.54 --> 00:11:002.68] [Ermo]  Ja, maar als je daarnaar vraagt, dan ben je dus onzeker over het model dat de connectie heeft gelegd, begrijp je?
[00:11:003.56 --> 00:11:005.36] [Ermo]  Dus dat zou ik niet direct zeggen.
[00:11:005.60 --> 00:11:011.38] [Ermo]  Als het model zo is ingericht dat dat gecheckt is, dan ga ik vanuit Roan.
[00:11:012.32 --> 00:11:015.94] [Ermo]  Dan is dat voor mij prima zo, dan ga ik niet zelf die check doen.
[00:11:016.10 --> 00:11:022.88] [Roan]  Oké, dus als het model inderdaad goed genoeg presteert, dan zou je er gewoon direct op vertrouwen?
[00:11:023.34 --> 00:11:025.04] [Ermo]  Ja, dan vertrouw ik er op.
[00:11:025.16 --> 00:11:025.58] [Roan]  Oké, top.
[00:11:027.28 --> 00:11:031.92] [Roan]  Allright, nou die uitleg dus inderdaad van die links tussen kandidaten en vacatures,
[00:11:032.34 --> 00:11:037.14] [Roan]  is dat een logische uitleg naar jouw mening?
[00:11:037.40 --> 00:11:041.00] [Roan]  Iets waarvan je dan denkt van, oh ja, dat zou inderdaad wel een goede reden kunnen zijn
[00:11:041.00 --> 00:11:043.52] [Roan]  om deze persoon aan te bevelen?
[00:11:044.65 --> 00:11:053.43] [Ermo]  Ja, nogmaals, dat is dus gerelateerd natuurlijk aan hoe het model werkt en dat die uitleg van
[00:11:053.43 --> 00:11:059.01] [Ermo]  die andere kandidaten en hoe die zich dus verhouden met die kandidaat waarvoor dan de
[00:11:059.01 --> 00:12:008.51] [Ermo]  beste match is voor de vacature, dat dat inderdaad, hoe zeg je dat, dat dat inderdaad, nou ja,
[00:12:008.51 --> 00:12:016.03] [Ermo]  dat dat klopt, dus dat dat geverifiëerd is met de informatie die er dan ten grondzak ligt.
[00:12:016.19 --> 00:12:016.43] [Ermo]  Ja, ja, ja.
[00:12:016.43 --> 00:12:024.63] [Ermo]  En dan is het prima, dus dan gaat het gewoon om van deze kandidaat is conform model de beste
[00:12:024.63 --> 00:12:027.37] [Ermo]  match met de vacature, dus dat begrijp ik helemaal wel.
[00:12:028.01 --> 00:12:029.17] [Ermo]  Maar is het ook zo?
